0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
a 1
b 1
c 1
d 1
e 1
f 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
1a 1
1b 1
1c 1
1d 1
1e 1
1f 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 1
29 1
2a 1
2b 1
2c 1
2d 1
2e 1
2f 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
3a 1
3b 1
3c 1
3d 1
3e 1
3f 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
4a 1
4b 1
4c 1
4d 1
4e 1
4f 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
5a 1
5b 1
5c 1
5d 1
5e 1
5f 1
60 1
61 1
62 1
63 1
64 1
65 1
66 1
67 1
68 1
69 1
6a 1
6b 1
6c 1
6d 1
6e 1
6f 1
70 1
71 1
72 1
73 1
74 1
75 1
76 1
77 1
78 1
79 1
7a 1
7b 1
7c 1
7d 1
7e 1
7f 1
80 1
81 1
82 1
83 1
84 1
85 1
86 1
87 1
88 1
89 1
8a 1
8b 1
8c 1
8d 1
8e 1
8f 1
90 1
91 1
92 1
93 1
94 1
95 1
96 1
97 1
98 1
99 1
9a 1
9b 1
9c 1
9d 1
9e 1
9f 1
a0 1
a1 1
a2 1
a3 1
a4 1
a5 1
a6 1
a7 1
a8 1
a9 1
aa 1
ab 1
ac 1
ad 1
ae 1
af 1
b0 1
b1 1
b2 1
b3 1
b4 1
b5 1
b6 1
b7 1
b8 1
b9 1
ba 1
bb 1
bc 1
bd 1
be 1
bf 1
c0 1
c1 1
c2 1
c3 1
c4 1
c5 1
c6 1
c7 1
c8 1
c9 1
ca 1
cb 1
cc 1
cd 1
ce 1
cf 1
d0 1
d1 1
d2 1
d3 1
d4 1
d5 1
d6 1
d7 1
d8 1
d9 1
da 1
db 1
dc 1
dd 1
de 1
df 1
e0 1
e1 1
e2 1
e3 1
e4 1
e5 1
e6 1
e7 1
e8 1
e9 1
ea 1
eb 1
ec 1
ed 1
ee 1
ef 1
f0 1
f1 1
f2 1
f3 1
f4 1
f5 1
f6 1
f7 1
f8 1
f9 1
fa 1
fb 1
fc 1
fd 1
fe 1
ff 1
